id,Dvfull,treatment,W1,W2,W2n,W3,W3a,W3n,W4,W4a,Census_comp,W5,W5a,W5b,W5c,Party,PartyLean,PartyLikert,N2,N2n,N3,N3n,N4_1,N4_2,N4_3,N4_4,N4_5,N4_6,N4_7,N4_8,N4_9,N4_10,N4_11,N4_12,N4_13,N4_1n,N4_2n,N4_3n,N4_4n,N4_5n,N4_6n,N4_7n,N4_8n,N4_9n,N4_10n,N4_11n,N4_12n,N4_13n,Agreatdealn,Afairamountn,Nottoomuchn,Noconfidenceatalln,ConfidenceIndex,N5,N5n,N6,N6n,N7_1,N7_2,N7_3,N7_4,N7_5,N7_6,N7_7,N7_8,N7_1n,N7_2n,N7_3n,N7_4n,N7_5n,N7_6n,N7_7n,N7_8n,GovtServicesIndex,N8,N8n,N9_1,N9_2,N9_3,N9_4,N9_1n,N9_2n,N9_3n,N9_4n,MediaIndex,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N10n,N11n,N12n,N13n,N14n,N15n,N16n,N17n,N18n,N19n,N1,N1n,N1a,N1an,Trump,D2,IdeoLikert,D4,D4n,D5,D5n,D7,D7n,D8,D8n,D9,D9n,D13,D13n,D14,D14n,D15,D15n,D11,D11n,D11a,D11an,D12_1,D12_2,Region,Division,Confirmed_Cases,Covid_Deaths,Active_Covid,Incident_Rate,Case_Fatality_Ratio,opp,Q_TotalDuration,RISN,rid,Q_CHL,QPMID,cintid,ProjectToken,isNew,wave,gc,term,Treatment,Medium,Race,LS,E0_num,E1_num,E2_num,E3_num,E4_num,E5_num,E6_num,E7_num,E0_num3,E1_num3,E2_num3,E3_num3,E4_num3,E5_num3,E6_num3,E7_num3,partisan,DVfull,control,NurseLindsaydemo,DrFaucidemo,Bidenendorse,Trumpendorse,Fauciendorse,FDA,Economy,gender,health,flu,edu,incm,marital,agevar,race,trust_sci,treatment,allergy,religion,Black,Hispanic,Asian,Mixed,Other,White,PacificIslander,NativeAmerican,Other2,concernillness,knowCovid19pat,ConfidenceIndexscale,GovtServicesIndexscale,MediaIndexscale,Incident_RatePct,lnCovid_Deaths,trust_gov,fem,county,incident_ratepct,state,ManipCorr,Durationinseconds
1,0,T4 Trump,Yes,25-34,1,Female,,1,White,,White,Republican Party,,Not very strong,,Republican,Republican,5,Not too interested,1,About half the time,2,Not too much,Not too much,A fair amount,A fair amount,Not too much,Not too much,Not too much,Not too much,A fair amount,A fair amount,A fair amount,A fair amount,A fair amount,1,1,2,2,1,1,1,1,2,2,2,2,2,0,7,6,0,20,There’s not much ordinary citizens can do to influence the government,0,Some of the time,1,No,Yes,No,No,Yes,Yes,Yes,No,0,1,0,0,1,1,1,0,4,The scientific method can be used to produce any conclusion the researcher wants,0,Several days a week,Several days a week,Every few weeks/once a month,Once a week,3,3,2,1,9,Somewhat concerned,Not too concerned,Yes,Oppose,Decreased a little,Discourage,"A factory owned by an American company that employed 1,000 workers",Live in a non-democracy where government action often aligns with your views,Disagree,Some of the time,2,1,1,0,1,0,1,1,1,1,Yes,1,Donald J. Trump,3,1,Moderate,3,Single,0,No,0,Some college,2,"$20,000 to under $30,000",2,Occassionally,1,No,0,No,0,Very good,3,No,No,,,WASHINGTON,Whatcom WA,West,Pacific,6110,72,6038,2665,1,Qual73538399-0108Vaccination,432,9979290,6023264b-956b-bb91-96d4-2c41a09b4f7c,anonymous,73531461,,,,,1,,T4 Trump,Text Endorse,White,1227,,,,,0,,,,,,,,0,,,,1,0,0,0,0,0,1,0,0,0,1,3,0,2,2,0,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,4,2,1,Whatcom WA,3,WASHINGTON,0,432
2,6,Control,Yes,18-24,0,Male,,0,White,,White,Republican Party,,Strong,,Republican,Republican,6,Extremely interested,4,Always,4,Not too much,A fair amount,Not too much,A fair amount,A great deal,A fair amount,A great deal,A great deal,A great deal,Not too much,No confidence at all,A fair amount,Not too much,1,2,1,2,3,2,3,3,3,1,0,2,1,4,4,4,1,24,There’s not much ordinary citizens can do to influence the government,0,All of the time,4,No,No,No,No,No,No,No,No,0,0,0,0,0,0,0,0,0,The scientific method can be used to produce any conclusion the researcher wants,0,Every day,Several days a week,Every day,Once a week,4,3,4,1,12,Somewhat concerned,Somewhat concerned,No,Favor,Increased a little,Stay out of this matter,"A factory owned by an American company that employed 1,000 workers",Live in a democracy where government action sometimes aligns with your views,Strongly agree,Most of the time,2,2,0,1,3,1,1,0,4,2,Yes,1,Donald J. Trump,3,1,Very conservative,6,Single,0,No,0,High school graduate,1,"$30,000 to under $40,000",3,Most of the time,3,No,0,No,0,Excellent,4,No,No,,,SOUTH CAROLINA,Berkeley SC,South,South Atlantic,13510,155,13355,5928,1,Qual73538399-0108Vaccination,205,9979290,6023276a-dafe-7726-419d-da364c2db5f8,anonymous,73531461,,,,,1,,Control,Control,White,1227,2,,,,,,,,6,,,,,,,,1,6,1,0,0,0,0,0,0,0,0,4,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,1,0,5,4,0,Berkeley SC,6,SOUTH CAROLINA,,205
3,6,T2 Fauci,Yes,25-34,1,Female,,1,White,,White,Democratic Party,Not very strong,,,Democrat,Democrat,1,Somewhat interested,2,About half the time,2,Not too much,Not too much,A great deal,A fair amount,Not too much,Not too much,Not too much,Not too much,Not too much,A great deal,Not too much,Not too much,A fair amount,1,1,3,2,1,1,1,1,1,3,1,1,2,2,2,9,0,19,Ordinary citizens can do a lot to influence the government if they are willing to make the effort,1,Some of the time,1,No,No,No,No,Yes,Yes,No,No,0,0,0,0,1,1,0,0,2,The scientific method generally produces accurate conclusions,1,Several days a week,Several days a week,Once a week,Once a week,3,3,1,1,8,Very concerned,Very concerned,Yes,Oppose,Left the same as it is now,Discourage,"A factory owned by an American company that employed 1,000 workers",Live in a democracy where government action sometimes aligns with your views,Disagree,Some of the time,3,3,1,0,2,0,1,0,1,1,No,0,,,,Mostly liberal,1,Single,0,No,0,4-year college degree,4,"$150,000 or more",8,Never,0,Yes,1,No,0,Fair,1,Yes,Yes,Lutheran,Lutheran,MINNESOTA,Carver MN,Midwest,West North Central,7302,40,7262,6948,1,Qual73538399-0108Vaccination,363,9979290,602326b2-b1e0-889e-2dad-c85ce3fbba57,anonymous,73531461,,,,,1,,T2 Fauci,Demo Endorse,White,1227,,,2,,,,,,,,6,,,,,,0,6,0,0,1,0,0,0,0,0,1,1,1,4,8,0,1,0,1,2,0,1,0,0,0,0,0,1,0,0,0,3,1,0,0,1,0,4,2,1,Carver MN,7,MINNESOTA,1,363
4,6,T1 Lindsay,Yes,25-34,1,Male,,0,Asian American,,Asian,Democratic Party,Strong,,,Democrat,Democrat,0,Very interested,3,Most of the time,3,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,3,3,3,3,3,3,3,3,3,3,3,3,3,13,0,0,0,39,There’s not much ordinary citizens can do to influence the government,0,All of the time,4,No,No,No,No,No,Yes,No,No,0,0,0,0,0,1,0,0,1,The scientific method can be used to produce any conclusion the researcher wants,0,Every day,Every day,Every day,Every day,4,4,4,4,16,Very concerned,Very concerned,No,Oppose,Increased a little,Encourage,"A factory owned by a Chinese company that employed 2,000 workers",Live in a non-democracy where government action often aligns with your views,Strongly agree,All of the time,3,3,0,0,3,2,0,1,4,3,No,0,,,,Mostly conservative,5,Single,0,No,0,4-year college degree,4,"$100,000 to under $150,000",7,Never,0,Yes,1,No,0,Excellent,4,Yes,Yes,Buddhist ,Buddhist ,CALIFORNIA,Los Angeles CA,West,Pacific,1152430,18367,1134063,11479,2,Qual73538399-0108Vaccination,199,9979290,602327e9-8d6e-f330-a925-181ea6704603,anonymous,73531461,,,,,1,,T1 Lindsay,Demo Endorse,Asian,1227,,2,,,,,,,,6,,,,,,,0,6,0,1,0,0,0,0,0,0,0,4,1,4,7,0,1,3,0,1,0,1,0,0,1,0,0,0,0,0,0,3,0,1,0,1,0,10,3,0,Los Angeles CA,11,CALIFORNIA,1,199
5,6,T7 Economy,Yes,25-34,1,Female,,1,White,,White,Democratic Party,Strong,,,Democrat,Democrat,0,Very interested,3,Some of the time,1,A great deal,A fair amount,A fair amount,Not too much,A fair amount,A great deal,A fair amount,A great deal,Not too much,A fair amount,A fair amount,A fair amount,Not too much,3,2,2,1,2,3,2,3,1,2,2,2,1,3,7,3,0,26,There’s not much ordinary citizens can do to influence the government,0,Some of the time,1,No,Yes,No,Yes,No,Yes,No,Yes,0,1,0,1,0,1,0,1,4,The scientific method can be used to produce any conclusion the researcher wants,0,Several days a week,Every day,Several days a week,Every day,3,4,3,4,14,Somewhat concerned,Somewhat concerned,Yes,Favor,Increased a little,Discourage,"A factory owned by an American company that employed 1,000 workers",Live in a non-democracy where government action often aligns with your views,Neither agree nor disagree,Some of the time,2,2,1,1,3,0,1,1,2,1,Yes,1,Joseph R. Biden,0,0,Somewhat conservative,4,Married,2,Yes,1,4-year college degree,4,"$75,000 to under $100,000",6,Occassionally,1,Yes,1,No,0,Excellent,4,Yes,Yes,catholic,catholic,FLORIDA,Palm Beach FL,South,South Atlantic,111816,2277,109539,7470,2,Qual73538399-0108Vaccination,552,9979290,602326e4-2177-f4ee-bef4-963a45d942c7,anonymous,73531461,,,,,1,,T7 Economy,Subst Message,White,1227,,,,,,,,2,,,,,,,,6,0,6,0,0,0,0,0,0,0,1,1,4,1,4,6,2,1,0,0,7,0,1,0,0,0,0,0,1,0,0,0,2,1,1,1,1,0,8,1,1,Palm Beach FL,7,FLORIDA,1,552
6,6,T3 Biden,Yes,25-34,1,Male,,0,White,,White,Democratic Party,Strong,,,Democrat,Democrat,0,Somewhat interested,2,About half the time,2,A fair amount,Not too much,Not too much,Not too much,No confidence at all,Not too much,A fair amount,Not too much,Not too much,Not too much,No confidence at all,Not too much,Not too much,2,1,1,1,0,1,2,1,1,1,0,1,1,0,2,9,2,13,Ordinary citizens can do a lot to influence the government if they are willing to make the effort,1,Most of the time,3,Yes,Yes,No,No,No,Yes,No,Yes,1,1,0,0,0,1,0,1,4,The scientific method can be used to produce any conclusion the researcher wants,0,Several days a week,Several days a week,Once a week,Several days a week,3,3,1,3,10,Somewhat concerned,Somewhat concerned,Yes,Oppose,Increased a little,Encourage,"A factory owned by a Chinese company that employed 2,000 workers",Live in a democracy where government action sometimes aligns with your views,Neither agree nor disagree,Most of the time,2,2,1,0,3,2,0,0,2,2,Yes,1,Joseph R. Biden,0,0,Mostly liberal,1,Not married but in a relationship,1,No,0,Some college,2,"$20,000 to under $30,000",2,Most of the time,3,Yes,1,No,0,Very good,3,No,No,,,TEXAS,Harrison TX,South,West South Central,4345,86,4259,6529,2,Qual73538399-0108Vaccination,199,9979290,6023285b-d7ed-dba1-bdba-4274353f8fff,anonymous,73531461,,,,,1,,T3 Biden,Text Endorse,White,1227,,,,2,,,,,,,,6,,,,,0,6,0,0,0,1,0,0,0,0,0,3,1,2,2,1,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,2,1,0,1,1,0,4,2,0,Harrison TX,7,TEXAS,1,199
7,2,T5 Fauci,Yes,25-34,1,Female,,1,White,,White,Republican Party,,Not very strong,,Republican,Republican,5,Not too interested,1,Some of the time,1,A fair amount,A fair amount,A fair amount,Not too much,Not too much,A fair amount,A fair amount,Not too much,A fair amount,Not too much,A fair amount,A fair amount,A fair amount,2,2,2,1,1,2,2,1,2,1,2,2,2,0,9,4,0,22,There’s not much ordinary citizens can do to influence the government,0,Most of the time,3,No,No,No,No,No,Yes,No,No,0,0,0,0,0,1,0,0,1,The scientific method can be used to produce any conclusion the researcher wants,0,Several days a week,Every day,Every few weeks/once a month,Never,3,4,2,0,9,Not too concerned,Somewhat concerned,No,Oppose,Left the same as it is now,Stay out of this matter,"A factory owned by an American company that employed 1,000 workers",Live in a democracy where government action sometimes aligns with your views,Agree,Some of the time,1,2,0,0,2,1,1,0,3,1,Yes,1,Donald J. Trump,3,1,Somewhat conservative,4,Married,2,Yes,1,Some college,2,"$40,000 to under $50,000",4,Never,0,No,0,No,0,Good,2,No,No,,,MICHIGAN,Oakland MI,Midwest,East North Central,72246,1933,70313,5745,3,Qual73538399-0108Vaccination,319,9979290,602327ae-93a5-ae14-6dc9-f896b3b9c790,anonymous,73531461,,,,,1,,T5 Fauci,Text Endorse,White,1227,,,,,,1,,,,,,,,2,,,1,2,0,0,0,0,0,1,0,0,1,2,0,2,4,2,1,0,0,5,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,1,0,8,1,1,Oakland MI,6,MICHIGAN,1,319
8,0,T3 Biden,Yes,25-34,1,Female,,1,White,,White,Independent/no preference,,,Closer to Republican Party,Other,Republican,4,Not too interested,1,Some of the time,1,A fair amount,Not too much,A fair amount,A fair amount,A fair amount,A fair amount,Not too much,Not too much,A fair amount,A fair amount,A fair amount,Not too much,A fair amount,2,1,2,2,2,2,1,1,2,2,2,1,2,0,9,4,0,22,There’s not much ordinary citizens can do to influence the government,0,Some of the time,1,No,No,No,No,No,No,No,No,0,0,0,0,0,0,0,0,0,The scientific method can be used to produce any conclusion the researcher wants,0,Every few weeks/once a month,Several days a week,Every few weeks/once a month,Never,2,3,2,0,7,Not too concerned,Not too concerned,Yes,Oppose,Decreased a lot,Discourage,"A factory owned by an American company that employed 1,000 workers",Live in a non-democracy where government action often aligns with your views,Neither agree nor disagree,Most of the time,1,1,1,0,0,0,1,1,2,2,No,0,,,,Somewhat liberal,2,Single,0,Yes,1,High school graduate,1,"Less than $10,000",0,Always,4,Yes,1,Yes,1,Good,2,Yes,Yes,Christian,Christian,TENNESSEE,McMinn TN,South,East South Central,5557,87,5470,10330,2,Qual73538399-0108Vaccination,370,9979290,602327a9-ac07-de8a-a3d8-ec5681bd529a,anonymous,73531461,,,,,1,,T3 Biden,Text Endorse,White,1227,,,,0,,,,,,,,0,,,,,2,0,0,0,0,1,0,0,0,0,1,2,1,1,0,0,1,0,0,3,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,4,1,1,McMinn TN,10,TENNESSEE,1,370
9,6,T7 Economy,Yes,25-34,1,Male,,0,White,,White,Democratic Party,Strong,,,Democrat,Democrat,0,Somewhat interested,2,Never,0,No confidence at all,No confidence at all,No confidence at all,A great deal,No confidence at all,Not too much,A fair amount,Not too much,No confidence at all,Not too much,No confidence at all,A fair amount,No confidence at all,0,0,0,3,0,1,2,1,0,1,0,2,0,1,2,3,7,10,There’s not much ordinary citizens can do to influence the government,0,None of the time,0,No,No,No,No,No,No,No,No,0,0,0,0,0,0,0,0,0,The scientific method generally produces accurate conclusions,1,Never,Every day,Never,Never,0,4,0,0,4,Somewhat concerned,Somewhat concerned,Yes,Oppose,Increased a lot,Stay out of this matter,"A factory owned by a Chinese company that employed 2,000 workers",Live in a non-democracy where government action often aligns with your views,Strongly disagree,Most of the time,2,2,1,0,4,1,0,1,0,2,Yes,1,Joseph R. Biden,0,0,Very liberal,0,Single,0,No,0,4-year college degree,4,"$75,000 to under $100,000",6,Never,0,No,0,No,0,Very good,3,No,No,,,KENTUCKY,Madison KY,South,East South Central,8145,65,8080,8759,1,Qual73538399-0108Vaccination,340,9979290,60232812-7293-1f7d-87ec-230a3d95ca71,anonymous,73531461,,,,,1,,T7 Economy,Subst Message,White,1227,,,,,,,,2,,,,,,,,6,0,6,0,0,0,0,0,0,0,1,0,3,0,4,6,0,1,0,1,7,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,4,0,0,Madison KY,9,KENTUCKY,1,340
10,0,T7 Economy,Yes,25-34,1,Female,,1,Native American,,Native American,Independent/no preference,,,Neither,Other,Neither,3,Very interested,3,Some of the time,1,No confidence at all,No confidence at all,A fair amount,A fair amount,Not too much,Not too much,No confidence at all,No confidence at all,Not too much,A fair amount,A fair amount,No confidence at all,A fair amount,0,0,2,2,1,1,0,0,1,2,2,0,2,0,5,3,5,13,There’s not much ordinary citizens can do to influence the government,0,None of the time,0,Yes,No,No,No,Yes,No,No,Yes,1,0,0,0,1,0,0,1,3,The scientific method can be used to produce any conclusion the researcher wants,0,Every day,Every day,Never,Several days a week,4,4,0,3,11,Somewhat concerned,Not too concerned,Yes,Favor,Increased a little,Discourage,"A factory owned by an American company that employed 1,000 workers",Live in a non-democracy where government action often aligns with your views,Disagree,Most of the time,2,1,1,1,3,0,1,1,1,2,No,0,,,,Somewhat liberal,2,Not married but in a relationship,1,Yes,1,Some college,2,"$20,000 to under $30,000",2,Always,4,No,0,No,0,Good,2,Yes,Yes,Baptist,Baptist,ARKANSAS,Sebastian AR,South,West South Central,14058,243,13815,10998,2,Qual73538399-0108Vaccination,204,9979290,602328a1-babf-8da4-aaea-13e947699205,anonymous,73531461,,,,,1,,T7 Economy,Subst Message,Nat Am or Other,1227,,,,,,,,0,,,,,,,,0,2,0,0,0,0,0,0,0,0,1,1,2,0,2,2,1,1,5,0,7,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,5,1,1,Sebastian AR,11,ARKANSAS,1,204
